"","Cell_ID","Pearson_Correlation","mean_intensity_KRAS","mean_intensity_BRAF","sum_intensity_KRAS","sum_intensity_BRAF","Area_Pixels","Area","KRAS_type","BRAF_type","image_no"
"89",14,0.94498651816767,255.244584434756,123.675220570565,29740078,14410142,116516,145.1071737956,"KRASG12D","BRAF_AAAA",18
"90",15,0.329968909660242,61.2046980238119,89.3239683543601,5515951,8050144,90123,112.2377512443,"KRASG12D","BRAF_AAAA",18
"91",16,0.900261006637162,78.8040881043032,64.1504054777366,7803102,6352109,99019,123.3166881979,"KRASG12D","BRAF_AAAA",18
"92",17,0.808139467193067,1415.82611020203,847.137857848776,87389035,52287890,61723,76.8688428043,"KRASG12D","BRAF_AAAA",18
"93",18,0.893660750184711,255.483036362359,153.302473327246,32734275,19642186,128127,159.5673285807,"KRASG12D","BRAF_AAAA",18
"94",19,0.690806016614047,517.403795133537,826.228154399441,61431870,98098895,118731,147.8656995771,"KRASG12D","BRAF_AAAA",18
"95",20,0.237848312937111,38.5441603230012,8.07521975017874,1832929,384009,47554,59.2229954914,"KRASG12D","BRAF_AAAA",18
"96",21,0.299490321939592,19.1391429906854,8.59281207224652,2293099,1029522,119812,149.2119597892,"KRASG12D","BRAF_AAAA",18
"97",22,0.863998488586626,172.289283921074,94.8664736611578,16127483,8880166,93607,116.5766694487,"KRASG12D","BRAF_AAAA",18
"98",23,0.910865839040651,93.804331782807,59.4675172197871,8389109,5318299,89432,111.3771908312,"KRASG12D","BRAF_AAAA",18
"99",24,0.892270060610135,197.030538409968,177.655778255542,8522950,7684856,43257,53.8715800137,"KRASG12D","BRAF_AAAA",18
"100",25,0.386360242235264,35.1123853954061,4.92133994233324,4335256,607628,123468,153.7650840588,"KRASG12D","BRAF_AAAA",18
"101",1,0.892647934055434,291.785450499503,115.428791250414,12325601,4875943,42242,52.6075151522,"KRASG12D","BRAF_AAAA",19
"102",2,0.874801119952696,1184.49365444578,1076.53614947197,243504652,221311072,205577,256.0223271257,"KRASG12D","BRAF_AAAA",19
