Cell_ID,Pearson_Correlation,mean_intensity_KRAS,mean_intensity_BRAF,sum_intensity_KRAS,sum_intensity_BRAF,Area_Pixels,Area,KRAS_type,BRAF_type,image_no,BRAF_75th,KRAS_75th
2,-0.4103788240708776,2024.7419037423904,1272.289713562786,187250156,117662625,92481,115.17436695210002,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
15,-0.3211455237990047,1209.6056860001036,828.3467060591925,186695380,127850344,154344,192.21756353040004,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
16,-0.23203600347331896,937.9433013536072,896.5366660632756,93267206,89149813,99438,123.83850413580002,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
26,-0.25799375254799783,2249.650756099824,1111.013765191576,193991884,95804939,86232,107.39196171120004,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
29,-0.4648486068435073,1013.4030132683948,1543.4193882427912,89055830,135632609,87878,109.44186393980002,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
44,-0.28656771811247084,940.7252969108908,1446.2174943089933,91328434,140403133,97083,120.90562458030004,KRASG12D,BRAF_R188L,32,791.7674300936054,909.6861573829804
17,-0.5038423437504796,1410.1108843036109,2439.3202210759027,191352047,331015754,135700,168.99862237000002,KRASG12D,BRAF_R188L,33,791.7674300936054,909.6861573829804
26,-0.20910127080158697,2389.0091409911097,1994.7162435797716,371641429,310304043,155563,193.73568674830005,KRASG12D,BRAF_R188L,33,791.7674300936054,909.6861573829804
1,-0.3530834072680698,1017.9633197480548,1347.2272782189862,252768436,334527311,248308,309.23883510280007,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
11,-0.08646383480631323,1147.7993358257877,870.4227591323954,159336356,120831217,138819,172.88297537790004,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
12,-0.4230288322479741,996.5231054762824,1916.2251060547628,206718753,397501736,207440,258.34247770400003,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
16,-0.14656601207518954,1451.4415605313338,1701.0690315469342,180401123,211427571,124291,154.79003517310002,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
25,-0.3071610844982222,1457.6202008823805,4106.102525110297,77640140,218711551,53265,66.33538408650001,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
27,0.3859817280719991,1425.2738366296114,791.7674300936054,95774126,53204396,67197,83.68607536770001,KRASG12D,BRAF_R188L,34,791.7674300936054,909.6861573829804
12,-0.4241069209322838,3207.516122563568,2466.272347569011,559833449,430458243,174538,217.36685004580005,KRASG12D,BRAF_R188L,35,791.7674300936054,909.6861573829804
